Model,Accuracy,Precision,Recall,F1_Score,CV_Accuracy_Mean,CV_Accuracy_Std,Training_Time_Sec
Random Forest,0.8806818181818182,0.8507476195648238,0.8806818181818182,0.8653568386933747,0.9147619047619047,0.006494388042878712,0.10987615585327148
XGBoost,0.8636363636363636,0.8435328898743534,0.8636363636363636,0.8534659957880932,0.8991388044579534,0.015204658933564761,0.24803853034973145
SVM,0.8636363636363636,0.829072907290729,0.8636363636363636,0.8438455212648761,0.8835258358662614,0.022677080754172112,0.027814865112304688
Neural Network,0.8465909090909091,0.8440980955803091,0.8465909090909091,0.8449559287138905,0.8792603850050659,0.0003444782168186666,1.5090737342834473
