,mean,var,scale
N,246.8806818181818,5986.579513171488,77.37298955818812
P,14.469318181818181,478.8593711260331,21.88285564376901
K,498.5213068181818,14921.9682960195,122.15550866014803
pH,7.514261363636364,0.25462814759814045,0.5046069238507737
EC,0.5459090909090909,0.020011389462809916,0.14146161833801393
OC,0.6206960227272726,0.8626280666887266,0.9287777272785597
