N,P,K,pH,EC,OC
0.6994600892488188,-0.2088081307212417,-1.1421614002389988,-13.107749915838225,-0.1831527958854725,0.27918841037728365
-0.8385443316674289,-0.2910643055689032,0.06940901212574029,-0.5633322695358567,1.301348812870464,0.20382053930967192
-1.0841080627380904,-0.22251749319585198,1.7967154784024966,0.15009432646238105,-0.2538433486833743,0.5268257010280082
1.345680434171612,-0.2088081307212417,0.5851450660377576,-0.22643637698113295,-1.3142016406519006,0.06385163589839285
-0.5154341592060323,-0.38246005539963823,-0.3644641760859568,-0.22643637698113295,-0.8193677710665884,-0.5390913326425016
-0.5154341592060323,-0.3184830305181237,-0.7082882120273016,-0.22643637698113295,0.45306217929564296,-0.5606250100903907
1.0225702617102153,-0.2819247305858297,-1.7479466064213682,-0.2660711878699249,1.9375637880515795,0.27918841037728365
1.0225702617102153,-0.149400893331264,0.33137018236676496,0.11045951557359084,0.45306217929564296,-0.24838668709599893
0.7770065306395539,-0.19966855573816825,-0.8802002299979741,-0.6227844858690438,-0.1124622430875707,-0.45295662285094523
0.867477378928745,0.019681243855595817,-1.1421614002389988,-0.9398629729793725,-0.8193677710665884,0.06385163589839285
0.053239744326025636,-0.4327277178065425,-0.8802002299979741,0.15009432646238105,0.5237527320935448,0.2899552491012282
0.5443672064673484,-0.2682153681112195,0.5032822003374374,0.13027692101798594,-0.7486772182686866,0.0530847971744483
0.5443672064673484,-0.3002038805519767,-0.27441502381560456,-0.18680156609234275,-0.8193677710665884,-0.29145404199177716
-0.11477754535390057,4.050233811391009,-0.3644641760859568,-0.20661897153673786,-0.607296112672883,0.27918841037728365
-0.5929806005967675,-0.368750692925028,-0.446327041786277,-0.741688918535418,0.3116810736998394,-0.45295662285094523
-0.5929806005967675,-0.2819247305858297,1.2809794244904793,-0.721871513091021,-1.3142016406519006,-0.5606250100903907
-0.02430669706470954,-0.2819247305858297,0.06940901212574029,-0.18680156609234275,1.1599677072746604,0.6990951206111209
-0.5154341592060323,-0.23165706817892545,2.574412702555539,-0.9993151893125596,-1.1728205350560972,-0.17301881602838712
0.7770065306395539,-0.350471542958881,-1.0521122479686464,-0.42461043142508925,0.806514943285152,-0.45295662285094523
-0.5154341592060323,-0.23165706817892545,-3.0413798844864277,0.2095465427955681,0.9478960488809557,0.1392195069660046
1.2681339927808768,-0.350471542958881,-1.4041225704800233,0.13027692101798594,0.24099052090193757,0.06385163589839285
1.0225702617102153,-0.12198216838204343,-0.446327041786277,1.002242760571388,1.4427299184662676,0.17152002313783826
0.13078618571676082,-0.3002038805519767,-0.9702493822683264,0.36808578635073247,0.6651338376893484,-0.16225197730444263
0.22125703400595184,0.179623806059382,0.1512718778260605,0.32845097546194046,0.5237527320935448,0.17152002313783826
-0.5154341592060323,-0.2819247305858297,-1.0521122479686464,0.011372488351611799,-0.7486772182686866,0.44069099123645183
0.22125703400595184,-0.3002038805519767,-0.8802002299979741,-0.3453408096475071,0.45306217929564296,-0.4098892679551671
-0.02430669706470954,-0.18138940577202123,-1.4041225704800233,-0.22643637698113295,-0.8193677710665884,-0.1407182998565535
-0.3474168695261061,-0.3093434555350502,0.1512718778260605,1.557130113014465,1.301348812870464,-0.17301881602838712
0.6994600892488188,-0.350471542958881,-0.020640140144611942,0.11045951557359084,0.9478960488809557,0.4083904750646182
-0.4378877178152971,-0.2682153681112195,-0.5363761940566293,0.2293639482399632,0.7358243904872502,-0.4098892679551671
0.867477378928745,-0.2682153681112195,-0.8802002299979741,-13.107749915838225,0.09960941530613472,0.3868567976167291
-0.7609978902766937,-0.3915996303827117,0.33137018236676496,-0.741688918535418,0.3823716264977412,-0.24838668709599893
0.22125703400595184,-0.17224983078894776,-0.446327041786277,0.5662598407946869,-0.04177169028966889,0.06385163589839285
1.1130411099994064,0.019681243855595817,-0.6264253463269814,1.4778604912368811,-0.4659150070770798,0.5914267333716753
1.436151282460803,-0.07171450597513919,-0.6264253463269814,-0.9794977838681644,-0.4659150070770798,0.06385163589839285
1.5136977238515381,-0.2819247305858297,0.6751942183081098,0.5662598407946869,-0.8193677710665884,0.06385163589839285
0.9450238203194802,-0.4510068677726895,-0.6264253463269814,-0.2660711878699249,-0.1124622430875707,0.14998634568994915
-0.6705270419875027,-0.44186729278961595,-0.6264253463269814,-0.22643637698113295,-0.1831527958854725,-0.3560550743354444
-1.8983456973408095,-0.2819247305858297,0.5851450660377576,-0.14716675520355077,-0.9607488766623921,-0.29145404199177716
-0.3474168695261061,-0.2819247305858297,2.1405395143438417,-0.0678971334259686,0.3116810736998394,0.0530847971744483
-0.6059050074952234,-0.350471542958881,-0.8802002299979741,0.3086335700175454,1.2306582600725622,-0.29145404199177716
1.1130411099994064,-0.3413319679758075,0.6751942183081098,0.5662598407946869,0.9478960488809557,-0.09765094496077532
-0.4378877178152971,2.0440971026063766,0.33137018236676496,0.051007299240403765,-0.7486772182686866,0.21458737803361635
0.4538963581781574,-0.240796643161999,1.4528914424611519,0.9626079496825979,0.5237527320935448,0.17152002313783826
-1.4072182351994869,-0.2819247305858297,0.6751942183081098,0.2293639482399632,2.2203259992431867,-0.09765094496077532
-0.8385443316674289,-0.3184830305181237,-1.3140734182096712,-0.008444917092783303,0.45306217929564296,-0.3560550743354444
1.2681339927808768,2.848379701116844,1.4528914424611519,-0.8209585403130001,1.0892771544767585,-0.2591535258199435
1.2681339927808768,-0.25907579312814594,-0.446327041786277,0.5662598407946869,-1.6676544046414095,0.17152002313783826
-1.0065616213473552,-0.33219239299273395,1.7967154784024966,-0.6822367022022309,1.9375637880515795,-0.5606250100903907
-0.4378877178152971,-0.3596111179419545,-0.5363761940566293,-0.6029670804246487,0.17029996810403575,-0.45295662285094523
1.1905875513901416,-0.22251749319585198,1.2809794244904793,-0.42461043142508925,-1.3848921934498024,-0.24838668709599893
0.867477378928745,-0.3184830305181237,-1.5760345884506959,0.24918135368435831,0.24099052090193757,-0.45295662285094523
-0.5929806005967675,-0.3184830305181237,-0.27441502381560456,-0.9596803784237676,-1.2435110878539988,0.48375834613223
1.6817150135314642,-0.4190183553319322,1.0190182542494546,-0.6227844858690438,0.24099052090193757,-0.32375455816361076
0.9450238203194802,-0.03058641855130842,-0.8802002299979741,-0.2660711878699249,0.7358243904872502,0.48375834613223
0.6219136478580836,-0.3596111179419545,-1.1421614002389988,-0.10753194431476058,1.0892771544767585,0.5914267333716753
0.4538963581781574,-0.4190183553319322,2.746324720526211,-0.028262322537178405,0.24099052090193757,-0.24838668709599893
0.867477378928745,-0.1905289807550947,1.4528914424611519,0.7644338952386432,-1.1021299822581954,-0.5606250100903907
-0.02430669706470954,-0.3915996303827117,1.534754308161472,0.7644338952386432,0.09960941530613472,0.06385163589839285
0.13078618571676082,-0.13112174336511698,-0.5363761940566293,0.13027692101798594,1.301348812870464,-0.3560550743354444
0.9450238203194802,-0.2682153681112195,0.75705708400843,0.2095465427955681,1.1599677072746604,-0.5606250100903907
0.053239744326025636,-0.368750692925028,1.2809794244904793,-0.028262322537178405,0.9478960488809557,0.48375834613223
1.5136977238515381,-0.2682153681112195,1.7967154784024966,-0.22643637698113295,-0.1124622430875707,0.06385163589839285
-0.3474168695261061,-0.24993621814507247,-0.3644641760859568,-0.9596803784237676,-0.1124622430875707,0.06385163589839285
1.2681339927808768,-0.2088081307212417,0.06940901212574029,0.7644338952386432,-0.39522445427917796,0.17152002313783826
